Station_Name,Code,Latitude,Longitude
BAIRAGARH,BIH,23.274288,77.336687
BILKHA,BILK,21.443462,70.600566
BAHILPURWA,BIP,25.211154,80.972192
BHIWANDI ROAD,BIRD,19.269382,73.045882
BARDOLI,BIY,21.135425,73.10523
BHOJUDIH JUNCTION,BJE,23.642598,86.44686
BHAGAVATHIPURAM,BJM,9.018481,77.19395
BIJAINAGAR,BJNR,25.930896,74.652697
BAJVA,BJW,22.367023,73.143575
BHANKODA,BKD,23.270326,72.128413
BONA KALU,BKL,17.032495,80.261722
BHALUKA ROAD,BKRD,25.343173,87.912154
BARLAI,BLAX,22.894125,75.961787
BALAUDATAKUN,BLDK,22.875226,75.756469
BELAKOBA,BLK,26.590197,88.589541
BHALUMASKA,BLMK,19.328072,83.293827
BHULON,BLO,24.635139,76.970683
BILPUR,BLPU,28.083264,79.625337
BALSAMAND,BLSD,27.582014,74.47262
BALLY,BLY,22.655383,88.340567
BISSAMCUTTACK,BMCK,19.487469,83.459162
BRAHMANAGUDEM,BMGM,16.934872,81.675063
BIRANGKHERA,BMK,29.916852,74.632008
BOLARUM,BMO,17.533363,78.515203
BIKRAMPUR,BMR,23.091417,79.596498
BAMHRAULI,BMU,25.44529,81.739347
BANGALORE EAST,BNCE,13.001463,77.618276
BONGAIGAON,BNGN,26.479101,90.561025
BEVINAHALU,BNL,15.166956,77.213005
BANAR,BNO,26.339711,73.147012
BANAS,BNS,24.713738,72.989084
BANDAKPUR,BNU,23.848397,79.575258
BIDHANNAGAR ROAD,BNXR,22.591131,88.390737
BHAIRONGARH,BOG,23.145391,74.776872
BHONRA,BON,25.183195,76.149881
BAORITHIKRIA,BOTI,27.41471,75.511386
BARRACKPORE,BP,22.760947,88.371145
BANAPURA,BPF,22.457598,77.462
BHOPALKA,BPKA,22.123492,69.36955
BANPAS,BPS,23.401268,87.747445
BANKURA,BQK,23.224448,87.074685
BAGRINAGAR,BQN,25.895944,73.787695
BHATTIPROLU,BQU,16.105587,80.788316
BORIBIAL,BRB,18.408161,74.649028
BARGARH,BRG,21.333713,83.643333
BAIKUNTHPUR ROAD,BRH,23.318297,82.529268
BIROLIYA,BRLY,25.174107,73.195074
BIRMITRAPUR,BRMP,22.397499,84.737138
BARPALI,BRPL,21.184412,83.595353
BIRSINGHPUR,BRS,23.367235,81.043221
BAREILLY,BE,28.337106,79.410776
BANSHLAIBRIDGE,BSBR,24.485821,87.860234
BHUSANDPUR,BSDP,19.952192,85.476741
BASIKIRATPUR,BSKR,29.49723,78.213125
BASSIPATHANAM,BSPN,30.689021,76.40993
BESROLI,BSRL,26.991154,74.561191
BARSATHI,BSY,25.565749,82.473761
BASHARATGANJ,BTG,28.287868,79.285018
BHATKAL,BTKL,13.989313,74.566008
BABATPUR,BTP,25.454977,82.88033
BANTHRA,BTRA,27.929033,79.828008
BISSAU,BUB,28.240468,75.06138
BADMAL,BUDM,20.385443,83.270999
BARIARPUR,BUP,25.283041,86.574469
BADAUSA,BUS,25.248752,80.651318
BAURIA JUNCTION,BVA,22.5032,88.163198
BAYYAVARAM,BVM,17.660135,82.93023
BHILAVDI,BVQ,17.008222,74.51584
BELVANDI,BWD,18.711212,74.622567
BAWANIKHERA,BWK,28.939529,76.03249
BARWASAGAR,BWR,25.351938,78.73179
BANGARAPET,BWY,12.985113,78.178729
BILLI,BXLL,24.460334,83.01782
BORDHAL,BXY,21.996257,78.348434
BARYARAM,BYHA,25.566736,82.22674
BAIJNATHPUR,BYP,25.900673,86.653844
BAZIDAJATAN,BZJT,29.612864,76.965187
BAGNAN,BZN,22.46208,87.969865
BHUPIAMAO,VPO,25.87536,81.970512
BIJAYSOTA,VST,23.97942,81.090557
BALWA,WAB,29.407173,77.301966
BADNERA JUNCTION,BD,20.857539,77.732681
BAIDYANATHDHAM,BDME,24.48915,86.691994
BALHARSHAH,BPQ,19.848915,79.348095
BANDEL JUNCTION,BDC,22.923202,88.378352
BANGALORE CANTT,BNC,12.993411,77.599369
BAPATLA,BPP,15.90848,80.468343
BARABIL,BBL,22.10463,85.369134
BARHNI,BNY,27.495672,82.791643
BARSOI,BOE,25.650915,87.922594
BAYANA,BXN,26.916311,77.29661
BELLARY JUNCTION,BAY,15.145427,76.922197
BHADRAKH,BHC,21.091064,86.515917
BHATAPARA,BYT,21.732935,81.946485
BHILWARA,BHL,25.344179,74.631224
BHIWANI,BNW,28.797921,76.125056
BHUJ,BHUJ,23.2661,69.678415
BIKANER,BKN,28.014545,73.315967
BIRUR,RRB,13.592245,75.973331
BOLPURSHANTINIKETAN,BHP,23.658354,87.69875
BUDAUN,BEM,28.027835,79.136278
BANDRA,BA,19.055585,72.840398
BHAGEGA,BAGA,27.677348,75.721053
BAKAL,BAKL,21.124124,80.941925
BALUGAN,BALU,19.747557,85.200892
BANO,BANO,22.664688,84.902606
BARH,BARH,25.46224,85.709675
BARUVA,BAV,18.901191,84.554678
BABRALA,BBA,28.266606,78.403555
BARABHUM,BBM,23.091834,86.211725
BAGBAZAR,BBR,22.605025,88.365188
BAREILLY CITY,BC,28.355845,79.403203
BACHELI,BCHL,18.703824,81.2384
BHACHAU,BCO,23.304222,70.350614
BARCHI ROAD,BCRD,21.952437,78.312099
BHADRACHALAM ROAD,BDCR,17.55034,80.616049
BADHADA,BDHA,21.26972,71.337103
BHADLI,BDI,21.02307,75.67346
BHADAN,BDN,26.979461,78.737557
BADNAPUR,BDU,19.874729,75.72303
BODWAD,BDWD,20.903793,76.017167
BADKULLA,BDZ,23.305636,88.526209
BEHTAGOKUL,BEG,27.531012,80.054894
BUNDKI,BEK,29.522772,78.393486
BEAWAR,BER,26.10844,74.31446
BCEMENTNAGAR,BEY,15.48629,78.195332
BHABTA,BFT,23.98687,88.241565
BALAGARH,BGAE,23.122157,88.453162
BORRAGUHALLU,BGHU,18.275062,83.040196
BHAGWANPURA,BGPR,25.407277,73.354087
BISUGIRSHARIF,BGSF,18.347703,79.483149
BHIGWAN,BGVN,18.317124,74.774622
BAHADURGARH,BGZ,28.701281,76.930864
BAHERI,BHI,28.357141,79.401377
BHALKI,BHLK,18.047266,77.228162
BHANSI,BHNS,18.777804,81.265099
BHATEL,BHTL,22.163868,69.493415
BHUA,BHUA,25.944881,79.350423
BHAYAVADAR,BHY,21.847941,70.236234
BIDADI,BID,12.800521,77.390396
BIRNAGAR,BIJ,23.236414,88.551797
BILIMORA JUNCTION,BIM,20.765665,72.970303
BHEEMPURA,BIPR,25.120541,72.384973
BISHENGARH,BISH,25.448681,72.574959
BAHJOI,BJ,28.401084,78.631078
BIJNI,BJF,26.497658,90.703535
BARAJAMDA,BJMD,22.165269,85.409817
BAKRA ROAD,BK,25.213677,72.488694
BANKHEDI,BKH,22.77537,78.538491
BAKUDI,BKLE,24.926932,87.780278
BOKAROTHERMAL,BKRO,23.785423,85.875851
BOLDA,BLC,19.551687,77.273266
BILHARGHAT,BLG,26.681591,82.269283
BANTANAHAL,BLL,15.163026,77.275866
BHALUKMARA,BLMR,26.669526,94.123813
BILASPUR ROAD,BLOR,28.865072,79.253716
BALA ROAD,BLRD,22.797305,71.696503
BELSONDA,BLSN,21.154687,82.035378
BALAWALI,BLW,29.62737,78.112283
BUDHLADA,BLZ,29.922011,75.548968
BHIMADOLU,BMD,16.808272,81.261285
BETAMCHERLA,BMH,15.449324,78.14845
BHIMKHOJ,BMKJ,21.0801,82.288863
BRAHMANPALLI,BMPL,17.833066,78.450327
BAMSIN,BMSN,25.76275,72.544226
BONDAMUNDA,BNDM,22.235775,84.925346
BHIMNATH,BNH,22.239516,71.92212
BANSTHALINIWAI,BNLW,26.384037,75.935389
BHANAPUR,BNP,15.387216,76.036562
BANBASA,BNSA,28.991989,80.073737
BHANVAD,BNUD,21.932892,69.798545
BADSHAHNAGAR,BNZ,26.868956,80.961728
BAINCHI,BOI,23.119562,88.19664
BOINDA,BONA,20.919244,84.752282
BELAMPALLI,BPA,19.053569,79.486202
BELPAHAR,BPH,21.827321,83.848431
BARIPADA,BPO,21.92327,86.737728
BADAMPUDI,BPY,16.827993,81.473244
BHAGWANGOLA,BQG,24.334809,88.307703
BIGHAPUR,BQP,26.354985,80.693298
BANDHBARETA,BR,26.910549,77.364266
BHANDARA ROAD,BRD,21.23837,79.645938
BARAIGRAM JUNCTION,BRGM,24.681627,92.341238
BRAJRAJNAGAR,BRJN,21.822956,83.924372
BARABAMBO,BRM,22.701373,85.72822
BARAMATI,BRMT,18.153743,74.578137
BIRAPATTI,BRPT,25.406303,82.912804
BHORTEX,BRTK,21.098704,75.004068
BARHIYA,BRYA,25.28273,86.015463
BULANDSHAHR,BSC,28.393576,77.847768
BADSHAHPUR,BSE,25.652344,82.191407
BISHRAMPUR,BSPR,23.17885,82.983131
BAGEVADI ROAD,BSRX,16.480069,75.828256
